Símbolo	Nome	Tipo de Ativo
C2OL34.SA	Bancolombia S.A.	EQUITY
BCRI11.SA	Banestes Recebiveis Imobiliarios Fundo Investimento Imobiliario FII	EQUITY
BEES4.SA	Banestes S.A - Banco do Estado do Espírito Santo	EQUITY
BEES3.SA	Banestes S.A - Banco do Estado do Espírito Santo	EQUITY
BOAC34.SA	Bank of America Corporation	EQUITY
BAC	Bank of America Corporation	EQUITY
BNFS11.SA	Banrisul N Front Fund Investment IMO FII Fund	EQUITY
B1CS34.SA	BARCLAYS PLCDRN	EQUITY
B1BW34.SA	Bath & Body Works, Inc.	EQUITY
BALM4.SA	BAUMER      PN	EQUITY
BALM3.SA	BAUMER      ON	EQUITY
B1AX34.SA	Baxter International Inc.	EQUITY
AGRI11.SA	Bb Etf Iagro Ffs B3 Fundo De Indice	EQUITY
BBOV11.SA	Bb Etf Ibovespa Fundo De Indice	EQUITY
DVER11.SA	Bb Etf Indice Diversidade B3 Investimento Sustentavel Fundo De Indice	EQUITY
BBOI11.SA	Bb Etf Indice Futuro De Boi Gordo B3 Fundo De Indice	EQUITY
CORN11.SA	Bb Etf Indice Futuro De Milho B3 Fundo De Indice	EQUITY
BBSD11.SA	BB ETF S&P Dividendos Brasil Fundo de Indice	EQUITY
BBGO11.SA	Bb Fundo De Investimento De Credito Fiagro-Imobiliario	EQUITY
BBFI11.SA	BB Fundo De Investimento Imobiliario Progressivo	EQUITY
BBFO11.SA	BB Fundos De Fundos - Fundo De Investimento Imobiliario	EQUITY
BBIG11.SA	Bb Premium Malls Fundo De Investimento Imobiliário De Responsabilidade Limitada	EQUITY
TVRI11.SA	BB Progressivo II Fundo de Investimento Imobiliário - FII	EQUITY
BBRC11.SA	BB Renda Corporativa Fundo de Investimento Imobiliário - FII	EQUITY
RNDP11.SA	BB Renda de Papéis Imobiliários Fundo de Investimento Imobiliário - FII	EQUITY
BBSE3.SA	BB Seguridade Participações S.A.	EQUITY
B1GN34.SA	BEIGENE LTD DRN	EQUITY
^BFX	BEL 20	INDEX
BMOB3.SA	Bemobi Mobile Tech S.A.	EQUITY
BERK34.SA	Berkshire Hathaway Inc.	EQUITY
B2YN34.SA	Beyond Meat, Inc.	EQUITY
BMKS3.SA	Bicicletas Monark S.A.	EQUITY
B1IL34.SA	BILIBILI INCDRN	EQUITY
B2HI34.SA	BILL Holdings, Inc.	EQUITY
BNB-USD	BNB USD	CRYPTOCURRENCY
BREW11.SA	B-Index Morningstar Brasil Pesos Iguais Fundo De Indice	EQUITY
BCIC11.SA	B-Index Morningstar Setores Ciclicos Brasil Fundo De Indice	EQUITY
BIIB34.SA	BIOGEN      DRN	EQUITY
B1MR34.SA	BioMarin Pharmaceutical Inc.	EQUITY
BIOM3.SA	BIOMM       ON      MA	EQUITY
B1NT34.SA	BIONTECH SE DRN	EQUITY
T1CH34.SA	Bio-Techne Corporation	EQUITY
BTC-USD	Bitcoin USD	CRYPTOCURRENCY
BSGO39.SA	BKR 0 3M TRSDRE ED	EQUITY
BHEW39.SA	BKR CH JAPANDRE	EQUITY
BFAL39.SA	BKR FLL ANGLDRE ED	EQUITY
BEPP39.SA	BKR MSCI JPNDRE	EQUITY
BUTL39.SA	BlackRock Institutional Trust Company NA	EQUITY
BPIC39.SA	BlackRock Institutional Trust Company NA	EQUITY
BIXC39.SA	BlackRock Institutional Trust Company NA	EQUITY
BVEG39.SA	BlackRock Institutional Trust Company NA	EQUITY
BKSA39.SA	BlackRock Institutional Trust Company NA	EQUITY
BLAK34.SA	BLACKROCK   DRN	EQUITY
BLK	BlackRock, Inc.	EQUITY
BLAU3.SA	BLAU        ON      NM	EQUITY
S2QU34.SA	BLOCK INC.  DRN	EQUITY
BLCA11.SA	Bluemacaw Catuai Triple A Fundo De Investimento Imobiliario	EQUITY
BLMG11.SA	Bluemacaw Logastica Fundo De Investimento ImobiliaRio	EQUITY
BLMO11.SA	Bluemacaw Office Fund Ii - Fundo De Investimento Imobiliario	EQUITY
0XDX.L	EasyETF - BNP Paribas Easy Euro Stoxx 50 UCITS ETF	ETF
0ZV4.IL	BNP PARIBAS EASY FTSE EPRA EURO	ETF
SOJA3.SA	Boa Safra Sementes S.A.	EQUITY
BODB11.SA	Bocaina Infra- Fundo de Investimento em Cotas de Fundos Incentivados de Investimento em	EQUITY
BA	Boeing Company (The)	EQUITY
BOBR4.SA	BOMBRIL     PN	EQUITY
BKNG34.SA	Booking Holdings Inc.	EQUITY
B1WA34.SA	BORGWARNER IDRN	EQUITY
B1SX34.SA	Boston Scientific Corporation	EQUITY
B1PP34.SA	BP PLC      DRN	EQUITY
BRBI11.SA	BR Advisory Partners Participações S.A.	EQUITY
BCIA11.SA	Bradesco Carteira Imobiliaria Ativa Fundos de Investimento Imobiliario	EQUITY
BRAP4.SA	BRADESPAR   PN      N1	EQUITY
BRAP3.SA	BRADESPAR   ON      N1	EQUITY
AGRO3.SA	BrasilAgro - Companhia Brasileira de Propriedades Agrícolas	EQUITY
BRKM5.SA	BRASKEM     PNA     N1	EQUITY
BRKM6.SA	BRASKEM     PNB     N1	EQUITY
BRKM3.SA	BRASKEM     ON      N1	EQUITY
CARE11.SA	Brazilian Graveyard Death Care Services Fundo Investimento Imobiliario - Fii	EQUITY
BSLI3.SA	BRB - Banco de Brasília S.A.	EQUITY
BSLI4.SA	BRB - Banco de Brasília S.A.	EQUITY
A1LL34.SA	Bread Financial Holdings, Inc.	EQUITY
BZ=F	Brent Crude Oil Last Day Financ	FUTURE
BRCO11.SA	Bresco - Fundo De Investimento Imobiliario	EQUITY
BRFS3.SA	BRF SA      ON      NM	EQUITY
BIME11.SA	Brio Multiestrategia - Fundo De Investimento Imobiliario	EQUITY
BRIM11.SA	Brio Real Estate II - Fundo De Investimento Imobiliario - FII	EQUITY
BRIP11.SA	Brio Real Estate III - Fundo De Investimento Imobiliario	EQUITY
BRIT3.SA	Brisanet Participações S.A.	EQUITY
BMYB34.SA	Bristol-Myers Squibb Company	EQUITY
B1TI34.SA	British American Tobacco p.l.c.	EQUITY
^XDB	British Pound Currency Index	INDEX
BRLEUR=X	BRL/EUR	CURRENCY
BRLUSD=X	BRL/USD	CURRENCY
AVGO34.SA	BROADCOM INCDRN	EQUITY
AVGO	Broadcom Inc.	EQUITY
B1AM34.SA	Brookfield Corporation	EQUITY
B1FC34.SA	Brown-Forman Corporation	EQUITY
BROF11.SA	Brpr Corporate Offices Fundo De Investimento Imobiliario	EQUITY
B2RK34.SA	Bruker Corporation	EQUITY
BTAG11.SA	Btg Pactual Credito Agrocola Fundo De Investimento Em Cotas Fiagro Direitos Creditorios	EQUITY
BDIF11.SA	Btg Pactual Divida Infra FICF Incentivados De Investimento Em Infraestrutura Renda Fixa Credito Priv	EQUITY
ESGB11.SA	Btg Pactual Esg Fundo De Indice S P Brazil Esg	EQUITY
BTLG11.SA	BTG Pactual Logística Fundo de Investimento Imobiliário	EQUITY
SPXB11.SA	Btg Pactual S&P 500 Fundo De Indice	EQUITY
GENB11.SA	Btg Pactual S&P B3 Ingenius Fundo De Indice	EQUITY
